head,lemma,dep,pos,sim,relations,relation_name,w
paprika,salade,nmod,NOUN,0.7073561549186707,[],,
économe,pinceau,nmod,NOUN,0.4334880113601684,[],,
pinceau,couteau,nmod,NOUN,0.4793228805065155,"[{""id"": 558826967, ""node1"": 79400, ""node2"": 32610, ""type"": 0, ""w"": 34.0}]",r_associated,34.0
pinceau,plat,nmod,ADJ,0.5899262428283691,"[{""id"": 250683, ""node1"": 79400, ""node2"": 36327, ""type"": 17, ""w"": 60.0}]",r_carac,60.0
économe,étape,nmod,NOUN,0.4015891551971435,[],,
poire,jus,nmod,NOUN,0.5939196348190308,"[{""id"": 188166, ""node1"": 146033, ""node2"": 53310, ""type"": 0, ""w"": 139.0}, {""id"": 11252703, ""node1"": 146033, ""node2"": 53310, ""type"": 6, ""w"": 263.0}, {""id"": 648060986, ""node1"": 146033, ""node2"": 53310, ""type"": 666, ""w"": 2.0}]",r_isa,263.0
jus,citron,nmod,NOUN,0.5887953042984009,"[{""id"": 1718366, ""node1"": 53310, ""node2"": 15386, ""type"": 0, ""w"": 91.0}, {""id"": 9625998, ""node1"": 53310, ""node2"": 15386, ""type"": 8, ""w"": 22.0}, {""id"": 376199014, ""node1"": 53310, ""node2"": 15386, ""type"": 16, ""w"": -42.0}, {""id"": 765133846, ""node1"": 53310, ""node2"": 15386, ""type"": 80, ""w"": 26.0}, {""id"": 651234559, ""node1"": 53310, ""node2"": 15386, ""type"": 666, ""w"": 3.0}]",r_associated,91.0
plat,service,nmod,NOUN,0.5934174060821533,"[{""id"": 465259, ""node1"": 36327, ""node2"": 24247, ""type"": 0, ""w"": 81.0}, {""id"": 1726713, ""node1"": 36327, ""node2"": 24247, ""type"": 5, ""w"": 92.0}]",r_syn,92.0
service,recouvrir,acl,VERB,0.4931676983833313,[],,
salade,vert,amod,ADJ,0.6158227920532227,"[{""id"": 558712508, ""node1"": 118908, ""node2"": 26976, ""type"": 0, ""w"": 30.0}, {""id"": 3200451, ""node1"": 118908, ""node2"": 26976, ""type"": 17, ""w"": 30.0}, {""id"": 3160509, ""node1"": 118908, ""node2"": 26976, ""type"": 106, ""w"": 18.0}, {""id"": 1813836, ""node1"": 118908, ""node2"": 26976, ""type"": 666, ""w"": 4.0}]",r_carac,30.0
décorer,tranche,obj,NOUN,0.4883010685443878,[],,
tranche,pincée,nmod,NOUN,0.5035025477409363,[],,
pincée,paprika,nmod,NOUN,0.5827446579933167,[],,
