head,lemma,dep,pos,sim,relations,relation_name,w
concerner,fromage,obj,NOUN,0.5820378661155701,[],,
fromage,lait,nmod,NOUN,0.6050665378570557,"[{""id"": 106089, ""node1"": 141687, ""node2"": 86296, ""type"": 0, ""w"": 420.0}, {""id"": 96698063, ""node1"": 141687, ""node2"": 86296, ""type"": 3, ""w"": 30.0}, {""id"": 96698122, ""node1"": 141687, ""node2"": 86296, ""type"": 6, ""w"": -54.0}, {""id"": 385497933, ""node1"": 141687, ""node2"": 86296, ""type"": 8, ""w"": -26.0}, {""id"": 24567307, ""node1"": 141687, ""node2"": 86296, ""type"": 9, ""w"": 52.0}, {""id"": 665159283, ""node1"": 141687, ""node2"": 86296, ""type"": 17, ""w"": -5.0}, {""id"": 207495, ""node1"": 141687, ""node2"": 86296, ""type"": 21, ""w"": -52.0}, {""id"": 1555514, ""node1"": 141687, ""node2"": 86296, ""type"": 42, ""w"": 173.0}, {""id"": 96698114, ""node1"": 141687, ""node2"": 86296, ""type"": 50, ""w"": 36.0}, {""id"": 1765263, ""node1"": 141687, ""node2"": 86296, ""type"": 666, ""w"": 10.0}]",r_associated,420.0
lait,vache,nmod,NOUN,0.5106161832809448,"[{""id"": 100641, ""node1"": 86296, ""node2"": 138501, ""type"": 0, ""w"": 431.0}, {""id"": 137749, ""node1"": 86296, ""node2"": 138501, ""type"": 8, ""w"": -60.0}, {""id"": 9976460, ""node1"": 86296, ""node2"": 138501, ""type"": 10, ""w"": 4.0}, {""id"": 11357809, ""node1"": 86296, ""node2"": 138501, ""type"": 15, ""w"": 39.0}, {""id"": 383584, ""node1"": 86296, ""node2"": 138501, ""type"": 22, ""w"": -80.0}, {""id"": 15114456, ""node1"": 86296, ""node2"": 138501, ""type"": 27, ""w"": 28.0}, {""id"": 76654958, ""node1"": 86296, ""node2"": 138501, ""type"": 54, ""w"": 76.0}, {""id"": 1040288386, ""node1"": 86296, ""node2"": 138501, ""type"": 129, ""w"": 29.0}, {""id"": 1522646, ""node1"": 86296, ""node2"": 138501, ""type"": 666, ""w"": 13.0}]",r_associated,431.0
lait,pâte,nmod,NOUN,0.6849702596664429,"[{""id"": 421005930, ""node1"": 86296, ""node2"": 34069, ""type"": 0, ""w"": 2.0}, {""id"": 397295066, ""node1"": 86296, ""node2"": 34069, ""type"": 51, ""w"": 27.0}]",r_mater>object,27.0
fromage,presser,acl,VERB,0.6230915188789368,"[{""id"": 96698035, ""node1"": 141687, ""node2"": 47617, ""type"": 38, ""w"": 15.0}]",r_agentif_role,15.0
trouver,origine,obj,NOUN,0.4078374803066253,"[{""id"": 932194247, ""node1"": 48704, ""node2"": 46994, ""type"": 14, ""w"": 36.0}]",r_patient,36.0
ferme,expérimental,amod,ADJ,0.4118484556674957,[],,
milieu,siècle,nmod,NOUN,0.40152508020401,[],,
fabriquer,mélanger,advcl,VERB,0.5318658351898193,[],,
presser,grain,nsubj:pass,NOUN,0.5533832907676697,[],,
grain,obtenir,acl,VERB,0.5292232632637024,[],,
moule,fromage,nmod,NOUN,0.6245759725570679,"[{""id"": 110682462, ""node1"": 143723, ""node2"": 141687, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
laver,grain,nsubj:pass,NOUN,0.5898873209953308,[],,
grain,fromage,nmod,NOUN,0.6327254772186279,[],,
laver,presser,advcl,VERB,0.4793508350849151,[],,
donne,goût,obj,NOUN,0.520426869392395,[],,
fromage,autre,amod,ADJ,0.6371951699256897,[],,
différent,fromage,nmod,NOUN,0.6206983923912048,[],,
fromage,fabriquer,acl,VERB,0.6363376975059509,[],,
méthode,semblable,amod,ADJ,0.4612921774387359,[],,
